crates/view-core/src/native/keys.rs	                ("<S-CR>".to_string(), None),	                ("<C-CR>".to_string(), None),	-p view-tui --lib keys::tests::a_modified_enter_is_the_notation_the_composers_line_break_is_bound_to
crates/view-core/src/native/keys.rs	                ("<M-CR>".to_string(), None),	                ("<A-CR>".to_string(), None),	-p view-tui --lib keys::tests::a_modified_enter_is_the_notation_the_composers_line_break_is_bound_to
crates/view-core/src/native/keys.rs	            (Action::ComposerNewline, &self.composer_newline),	            (Action::ComposerNewline, &self.wider),	-p view-core --lib native::keys::tests::the_composers_line_break_answers_shift_and_alt_enter
crates/view-core/src/native/keys.rs	            Action::ComposerNewline => &mut self.composer_newline,	            Action::ComposerNewline => &mut self.wider,	-p view-native --lib config::tests::every_action_rebinds_on_its_own
crates/view-core/src/native/keys.rs	                keys.push(rest[..=end].replace("A-", "M-"));	                keys.push(rest[..=end].to_string());	-p view-core --lib native::keys::tests::alt_is_one_modifier_however_the_config_spells_it
crates/view-core/src/update/mod.rs	                            model.ai_panel_mut().push_input("\n");	                            model.ai_panel_mut().push_input(" ");	-p view-core --lib update::tests::a_typed_line_break_opens_a_row_and_enter_still_submits
crates/view-core/src/update/mod.rs	        Some(Resolved::Pending | Resolved::Act(Action::Resize(_)))	        Some(Resolved::Pending | Resolved::Act(_))	-p view-core --lib update::tests::shift_enter_breaks_the_line_too_and_neither_key_reaches_past_a_question
crates/view-core/src/native/ai_panel/mod.rs	        if let Some(offset) = text.rfind(['\n', '\r']) {	        if let Some(offset) = text.find(['\n', '\r']) {	-p view-core --lib native::ai_panel::tests::the_last_break_follows_the_composers_text
crates/view-core/src/native/ai_panel/mod.rs	            self.last_break = Some(self.input.len() + offset);	            self.last_break = Some(offset);	-p view-core --lib native::ai_panel::tests::the_last_break_follows_the_composers_text
crates/view-core/src/native/ai_panel/mod.rs	            self.last_break = self.input.rfind(['\n', '\r']);	            self.last_break = None;	-p view-core --lib native::ai_panel::tests::the_last_break_follows_the_composers_text
crates/view-core/src/native/ai_panel/mod.rs	ml:    pub fn take_input(&mut self) -> String {\n        self.last_break = None;	ml:    pub fn take_input(&mut self) -> String {	-p view-core --lib native::ai_panel::tests::the_last_break_follows_the_composers_text
crates/view-core/src/native/ai_panel/mod.rs	        phase + ((floor - phase) / width) * width	        floor - floor % width	-p view-core --lib native::ai_panel::tests::the_window_wraps_to_the_tail_of_the_whole_inputs_wrap
crates/view-core/src/native/ai_panel/mod.rs	        phase + ((floor - phase) / width) * width	        phase	-p view-core --lib native::ai_panel::tests::the_window_wraps_to_the_tail_of_the_whole_inputs_wrap
crates/view-core/src/native/ai_panel/mod.rs	ml:        floor - floor % width\n    };	ml:        phase\n    };	-p view-core --lib native::ai_panel::tests::a_multi_line_prompt_is_capped_at_the_composers_share_of_the_panel
crates/view-core/src/native/ai_panel/mod.rs	        .map_or(0, |at| at + 1);	        .map_or(0, |at| at);	-p view-core --lib native::ai_panel::tests::the_window_wraps_to_the_tail_of_the_whole_inputs_wrap
crates/view-core/src/native/ai_panel/mod.rs	            wrap_window(&self.input, width, cap, self.last_break),	            wrap_window(&self.input, width, cap, None),	-p view-core --lib native::ai_panel::tests::the_window_wraps_to_the_tail_of_the_whole_inputs_wrap
crates/view-core/src/update/mod.rs	                        let text = panel.take_input();	                        let text = panel.input.clone();	-p view-core --lib update::tests::enter_on_a_non_empty_composer_submits_a_prompt_and_clears_the_input
crates/view-core/src/update/paste.rs	        model.ai_panel_mut().push_input(text);	        model.ai_panel_mut().push_input(&text.replace('\n', " "));	-p view-core --lib update::tests::a_pasted_trailing_newline_leaves_the_prompt_in_the_composer
