crates/view-core/src/native/ai_panel/transcript.rs	ml:        self.awaiting_reply = Some(at);\n        self.animating.insert(at);	ml:        self.awaiting_reply = Some(at);\n        self.animating.remove(&at);	-p view-core --lib native::ai_panel::transcript::tests::a_submitted_prompt_spins_before_the_agent_has_said_anything
crates/view-core/src/native/ai_panel/transcript.rs	        self.awaiting_reply = Some(at);	        self.awaiting_reply = None;	-p view-core --lib native::ai_panel::transcript::tests::a_submitted_prompt_spins_before_the_agent_has_said_anything
crates/view-core/src/native/ai_panel/transcript.rs	        self.agent_answered();	        self.local_seq += 1;	-p view-core --lib native::ai_panel::transcript::tests::a_second_prompt_leaves_no_marker_spinning_behind_it
crates/view-core/src/native/ai_panel/transcript.rs	ml:        self.animating.remove(&at);\n        // Dropped rather than rewritten in place	ml:        self.animating.insert(at);\n        // Dropped rather than rewritten in place	-p view-core --lib native::ai_panel::transcript::tests::a_submitted_prompt_spins_before_the_agent_has_said_anything
crates/view-core/src/native/ai_panel/transcript.rs	ml:        if let Some(slot) = self.row_cache.get_mut().get_mut(at) {\n            *slot = None;\n        }	ml:        if let Some(slot) = self.row_cache.get_mut().get_mut(at) {\n            let _ = slot;\n        }	-p view-core --lib native::ai_panel::transcript::tests::a_submitted_prompt_spins_before_the_agent_has_said_anything
crates/view-core/src/native/ai_panel/transcript.rs	        self.awaiting_reply = None;	        self.echo = None;	-p view-core --lib native::ai_panel::transcript::tests::a_turn_that_ends_before_the_agent_speaks_stops_the_prompts_spinner
crates/view-core/src/native/ai_panel/transcript.rs	            let mark = spinner.map_or(mark, |frame| SPINNER_FRAMES[frame % SPINNER_FRAMES.len()]);	            let mark = spinner.map_or(mark, |_| mark);	-p view-core --lib native::ai_panel::transcript::tests::a_submitted_prompt_spins_before_the_agent_has_said_anything
crates/view-core/src/update/ai.rs	        } | AiEvent::ThoughtChunk { .. }	        } | AiEvent::UsageUpdated { .. }	-p view-core --lib update::ai::tests
crates/view-core/src/update/ai.rs	ml:        AiEvent::MessageChunk {\n            from_agent: true,\n            ..\n        } | AiEvent::ThoughtChunk { .. }	ml:        AiEvent::MessageChunk {\n            from_agent: false,\n            ..\n        } | AiEvent::ThoughtChunk { .. }	-p view-core --lib update::ai::tests
crates/view-core/src/update/ai.rs	    if answers_the_prompt(&event) && model.ai_panel_mut().transcript.agent_answered() {	    if answers_the_prompt(&event) && !model.ai_panel_mut().transcript.agent_answered() {	-p view-core --lib update::ai::tests
